Date AD,Date BS,Stations,Minimun Temprature,Maximum Temprature,Rainfall
2012/1/30,2068-10-16,Birendranagar,22.7,2.5,0
2012/1/30,2068-10-16,Nepalgunj,22.5,3.2,0
2012/1/30,2068-10-16,Jumla,12.9,-7.3,0
2012/1/30,2068-10-16,Dang,22,3.7,0
2012/1/30,2068-10-16,Pokhara,20.6,6.6,0
2012/1/30,2068-10-16,Bhairahawa,23.2,5.2,0
2012/1/30,2068-10-16,Simra,24.2,4.5,0
2012/1/30,2068-10-16,Kathmandu,20.5,1.4,0
2012/1/30,2068-10-16,Okhaldhunga,17.8,3.5,0
2012/1/30,2068-10-16,Taplejung,14.2,2.4,0
2012/1/30,2068-10-16,Dhankuta,20,5.1,0
2012/1/30,2068-10-16,Biratnagar,24.9,6.5,0
2012/1/31,2068-10-17,Dadeldhura,15.8,1.8,0
2012/1/31,2068-10-17,Dipayal,24.4,2.6,0
2012/1/31,2068-10-17,Dhangadi,22.7,5.6,0
2012/1/31,2068-10-17,Birendranagar,23,3.5,0
2012/1/31,2068-10-17,Nepalgunj,21.7,4.4,0
2012/1/31,2068-10-17,Jumla,13.5,-7.5,0
2012/1/31,2068-10-17,Pokhara,21.4,6.5,0
2012/1/31,2068-10-17,Bhairahawa,23.8,5.6,0
2012/1/31,2068-10-17,Simra,25,4.5,0
2012/1/31,2068-10-17,Kathmandu,20.5,2,0
2012/1/31,2068-10-17,Okhaldhunga,,4.4,0
2012/1/31,2068-10-17,Taplejung,15.9,4,0
2012/1/31,2068-10-17,Dhankuta,22.2,6.4,0
2012/1/31,2068-10-17,Biratnagar,25.9,7,0
2012/1/31,2068-10-17,Jiri,15.5,-4.3,0.0*
2012/2/1,2068-10-18,Dadeldhura,15.5,,0
